DATE         	TIME          	SORTER_ID	WAVE	STN/BIN_ID	EVENT_ID	QUANTITY	BARCODE       	DESCRIPTION
2016/12/07	09:35:00 AM	   303	         861	     89  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     88  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     87  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     86  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     85  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     84  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     83  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     82  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     81  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     80  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     79  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     78  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     77  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     76  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     75  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     74  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     73  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     72  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     71  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     70  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     69  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     68  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     67  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     66  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     65  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     64  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     63  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     62  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     61  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     60  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     59  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     58  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     57  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     56  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     55  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     54  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     53  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     52  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     51  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     50  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     49  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     48  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     47  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     46  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     45  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     44  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     43  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     42  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     41  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     40  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     39  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     38  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     37  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     36  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     35  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     34  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     33  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     32  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     31  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     30  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     29  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     28  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     27  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     26  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     25  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     24  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     23  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     22  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     21  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     20  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     19  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     18  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     17  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     16  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     15  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     14  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     13  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     12  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     11  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     10  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     9  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     8  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     7  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     6  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     5  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     4  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	     3  	     57  	        	               	SRT File Created
2016/12/07	09:35:00 AM	   303	         861	        	     47  	     611  	               	Total Parts In Wave
2016/12/07	09:35:00 AM	   303	         861	        	     51  	     6  	               	Total Missing Parts
2016/12/07	09:35:00 AM	   303	         861	     79  	     52  	     6  	               	Bin Missing Product
2016/12/07	09:35:09 AM	   303	         861	        	     53  	        	               	Log Stopped
2016/12/07	10:02:31 AM	   303	         896	        	     0  	        	               	Log Started
2016/12/07	10:02:31 AM	   303	         896	        	     1  	        	               	Wave 896 Started
2016/12/07	10:02:31 AM	   303	         896	        	     21  	        	               	File-H:\DTIN303.txt
2016/12/07	10:02:31 AM	   303	         896	        	     55  	        	               	WinDtr Version: 5.17.1
2016/12/07	10:02:33 AM	   303	         896	        	     2  	        	               	Conveyor Started
2016/12/07	10:05:36 AM	   303	         896	     169  	     44  	        	894515001818   	Title Not In Wave
2016/12/07	10:05:37 AM	   303	         896	     169  	     44  	        	812872018935   	Title Not In Wave
2016/12/07	10:12:04 AM	   303	         896	     15  	     37  	     1  	883929531776   	Product Added By Operator
2016/12/07	10:12:12 AM	   303	         896	        	     43  	        	               	Print Outstanding
2016/12/07	10:12:12 AM	   303	         896	        	     35  	        	               	Conveyor Stopped
2016/12/07	10:12:13 AM	   303	         896	        	     45  	        	               	Total Run Time: 0 Days 00 Hrs 09 Mins
2016/12/07	10:12:13 AM	   303	         896	        	     8  	        	               	Max Poll Time: 2230438
2016/12/07	10:12:13 AM	   303	         896	        	     46  	     6  	               	Unique Products In Wave
2016/12/07	10:12:13 AM	   303	         896	        	     48  	     145  	               	Total Parts Processed
2016/12/07	10:12:13 AM	   303	         896	        	     49  	     2  	               	Total Parts Not In Wave
2016/12/07	10:12:13 AM	   303	         896	        	     50  	     1  	               	Total NOREADS
2016/12/07	10:12:15 AM	   303	         896	     46  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     45  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     44  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     43  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     42  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     41  	     57  	        	               	SRT File Created
2016/12/07	10:12:15 AM	   303	         896	     40  	     57  	        	               	SRT File Created
