2016/10/27,09:32:31 AM,303,739,54,6,        ,883929558193,Verification Error
2016/10/27,09:32:31 AM,303,739,53,6,        ,883929558193,Verification Error
2016/10/27,09:34:30 AM,303,739,54,6,        ,883929558193,Verification Error
2016/10/27,09:35:20 AM,303,739,53,6,        ,883929558193,Verification Error
2016/10/27,09:36:23 AM,303,739,53,6,        ,883929474097,Verification Error
2016/10/27,09:37:14 AM,303,739,53,6,        ,883929474110,Verification Error
2016/10/27,09:40:42 AM,303,739,53,6,        ,883929474110,Verification Error
2016/10/27,09:57:01 AM,303,739,16,6,        ,883929558193,Verification Error
2016/10/27,11:20:55 AM,303,714,118,6,        ,13388305230,Verification Error
2016/10/27,11:23:53 AM,303,714,106,6,        ,13388305230,Verification Error
2016/10/27,11:25:30 AM,303,714,105,6,        ,13388305230,Verification Error
2016/10/27,11:26:49 AM,303,714,106,6,        ,13388305230,Verification Error
2016/10/27,11:27:32 AM,303,714,93,6,        ,13388305230,Verification Error
2016/10/27,11:28:45 AM,303,714,90,6,        ,13388305230,Verification Error
2016/10/27,11:28:45 AM,303,714,105,6,        ,13388305230,Verification Error
2016/10/27,11:34:03 AM,303,714,89,6,        ,13388305230,Verification Error
2016/10/27,11:34:13 AM,303,714,87,6,        ,13388305230,Verification Error
2016/10/27,11:34:59 AM,303,714,86,6,        ,13388305230,Verification Error
2016/10/27,11:35:21 AM,303,714,84,6,        ,13388305230,Verification Error
2016/10/27,11:39:38 AM,303,714,106,6,        ,13388305230,Verification Error
2016/10/27,11:40:24 AM,303,714,105,6,        ,13388305230,Verification Error
2016/10/27,11:41:54 AM,303,714,106,6,        ,13388305230,Verification Error
2016/10/27,11:42:18 AM,303,714,105,6,        ,13388305230,Verification Error
2016/10/27,11:43:55 AM,303,714,30,6,        ,13388305230,Verification Error
2016/10/27,11:44:55 AM,303,714,106,6,        ,13388305230,Verification Error
2016/10/27,12:22:09 PM,303,736,79,6,        ,883929391479,Verification Error
2016/10/27,01:29:52 PM,303,743,111,6,        ,883929474097,Verification Error
2016/10/27,01:29:53 PM,303,743,121,6,        ,883929474097,Verification Error
2016/10/27,03:58:20 PM,303,720,79,6,        ,10086611144,Verification Error
2016/10/27,04:02:23 PM,303,720,47,6,        ,13388305254,Verification Error
2016/12/06,08:27:31 PM,303,861,122,6,        ,854952003530,Verification Error
